Jose Soto
Program 3

Key         List          Array
==================================
Load Time   3767 ms    3788 ms
la          0.032 s    0.000 s
mo          0.031 s    0.000 s
pi          0.041 s    0.000 s
gopso       0.049 s    0.000 s
ndy         0.044 s    0.000 s
ar          0.034 s    0.000 s
ermac       0.034 s    0.000 s
tizab       0.037 s    0.000 s
chr         0.041 s    0.000 s
rgass       0.040 s    0.000 s
nesc        0.031 s    0.000 s
etop        0.032 s    0.000 s
ep          0.045 s    0.000 s
ads         0.057 s    0.000 s
rbn         0.038 s    0.000 s
ieve        0.032 s    0.000 s
gil         0.029 s    0.000 s
en          0.052 s    0.000 s
arret       0.055 s    0.000 s
shunt       0.036 s    0.000 s
iblas       0.031 s    0.000 s
olar        0.032 s    0.000 s
naliz       0.042 s    0.000 s
tica        0.055 s    0.000 s
tfo         0.055 s    0.000 s
te          0.050 s    0.000 s
miv         0.053 s    0.000 s
sy          0.042 s    0.000 s
ss          0.031 s    0.000 s
ena         0.033 s    0.000 s
evolu       0.032 s    0.000 s
ch          0.032 s    0.000 s
acao        0.035 s    0.000 s
ro          0.034 s    0.000 s
rend        0.043 s    0.000 s
al          0.036 s    0.000 s
rcept       0.033 s    0.000 s
su          0.037 s    0.000 s
te          0.036 s    0.000 s
scudd       0.032 s    0.000 s
eriz        0.033 s    0.000 s
lin         0.031 s    0.000 s
wo          0.028 s    0.000 s
fra         0.030 s    0.000 s
ltu         0.053 s    0.000 s
damu        0.049 s    0.000 s
curi        0.034 s    0.000 s
ent         0.033 s    0.000 s
yfu         0.032 s    0.000 s
chey        0.049 s    0.000 s
gra         0.047 s    0.000 s
te          0.036 s    0.000 s
loc         0.051 s    0.000 s
ultif       0.052 s    0.000 s
osi         0.054 s    0.000 s
uri         0.032 s    0.000 s
er          0.034 s    0.000 s
compl       0.030 s    0.000 s
scill       0.031 s    0.000 s
herv        0.029 s    0.000 s
la          0.031 s    0.000 s
rsy         0.032 s    0.000 s
er          0.034 s    0.000 s
he          0.029 s    0.000 s
lyz         0.034 s    0.000 s
ectio       0.053 s    0.000 s
part        0.051 s    0.000 s
an          0.063 s    0.000 s
quas        0.049 s    0.000 s
